score,grid_h,grid_w,board_area,board_ratio,avg_actions_per_apple,avg_timeouts_per_apple,game_duration,avg_apple_time,player,seed,win
25,10,10,100,0.25,7.72,0,3511361808,140000000,astar,1,false
28,10,10,100,0.28,7.107142857142857,0,3598518564,128000000,astar,2,false
33,10,10,100,0.33,8.090909090909092,0,4748867866,143000000,astar,3,false
37,10,10,100,0.37,8.08108108108108,0,5265838887,142000000,astar,4,false
32,10,10,100,0.32,7.25,0,4148827343,129000000,astar,5,false
39,10,10,100,0.39,8.564102564102564,0,5865127062,150000000,astar,6,false
44,10,10,100,0.44,8.613636363636363,0,6616702911,150000000,astar,7,false
29,10,10,100,0.29,7.862068965517241,0,4082032260,140000000,astar,8,false
26,10,10,100,0.26,7.269230769230769,0,3456100160,132000000,astar,9,false
17,10,10,100,0.17,4.823529411764706,0,1645776596,96000000,astar,10,false
26,10,10,100,0.26,7.423076923076923,0,3524327751,135000000,astar,11,false
34,10,10,100,0.34,8.735294117647058,0,5265380619,154000000,astar,12,false
32,10,10,100,0.32,6.75,0,3878989189,121000000,astar,13,false
39,10,10,100,0.39,8.384615384615385,0,5763150297,147000000,astar,14,false
33,10,10,100,0.33,7.454545454545454,0,4387472887,132000000,astar,15,false
38,10,10,100,0.38,6.184210526315789,0,4198435996,110000000,astar,16,false
29,10,10,100,0.29,7.344827586206897,0,3852405908,132000000,astar,17,false
29,10,10,100,0.29,9.379310344827585,0,4829484505,166000000,astar,18,false
27,10,10,100,0.27,6.777777777777778,0,3362968881,124000000,astar,19,false
28,10,10,100,0.28,7.642857142857143,0,3864377464,138000000,astar,20,false
